

!! n20w20.001    16.75 391


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      16.00      23.00       0.00       0.00     408.00       0.00
    2      22.00       4.00       0.00      62.00      68.00       0.00
    3      12.00       6.00       0.00     181.00     205.00       0.00
    4      47.00      38.00       0.00     306.00     324.00       0.00
    5      11.00      29.00       0.00     214.00     217.00       0.00
    6      25.00       5.00       0.00      51.00      61.00       0.00
    7      22.00      31.00       0.00     102.00     129.00       0.00
    8       0.00      16.00       0.00     175.00     186.00       0.00
    9      37.00       3.00       0.00     250.00     263.00       0.00
   10      31.00      19.00       0.00       3.00      23.00       0.00
   11      38.00      12.00       0.00      21.00      49.00       0.00
   12      36.00       1.00       0.00      79.00      90.00       0.00
   13      38.00      14.00       0.00      78.00      96.00       0.00
   14       4.00      50.00       0.00     140.00     154.00       0.00
   15       5.00       4.00       0.00     354.00     386.00       0.00
   16      16.00       3.00       0.00      42.00      63.00       0.00
   17      25.00      25.00       0.00       2.00      13.00       0.00
   18      31.00      15.00       0.00      24.00      42.00       0.00
   19      36.00      14.00       0.00      20.00      33.00       0.00
   20      28.00      16.00       0.00       9.00      21.00       0.00
   21      20.00      35.00       0.00     275.00     300.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00


!! n20w20.002    21.80 299


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      42.00      27.00       0.00       0.00     318.00       0.00
    2      44.00      11.00       0.00       0.00      24.00       0.00
    3      20.00       4.00       0.00     196.00     226.00       0.00
    4      25.00      27.00       0.00     161.00     186.00       0.00
    5      17.00      15.00       0.00      25.00      53.00       0.00
    6      15.00      30.00       0.00      78.00      98.00       0.00
    7      11.00      27.00       0.00     185.00     206.00       0.00
    8      23.00      23.00       0.00      65.00      89.00       0.00
    9      14.00      15.00       0.00      55.00      76.00       0.00
   10      19.00      48.00       0.00     246.00     272.00       0.00
   11      20.00      48.00       0.00     140.00     162.00       0.00
   12      11.00      43.00       0.00      79.00      98.00       0.00
   13      22.00      39.00       0.00     156.00     181.00       0.00
   14      38.00      23.00       0.00     291.00     312.00       0.00
   15      30.00      12.00       0.00      25.00      31.00       0.00
   16      16.00      39.00       0.00      72.00     106.00       0.00
   17       3.00      39.00       0.00      91.00     114.00       0.00
   18      21.00      37.00       0.00     143.00     156.00       0.00
   19      21.00      11.00       0.00      31.00      56.00       0.00
   20       1.00      22.00       0.00     117.00     128.00       0.00
   21      27.00      36.00       0.00     236.00     254.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00


!! n20w20.003    21.55 412


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      44.00      48.00       0.00       0.00     417.00       0.00
    2      23.00      49.00       0.00      23.00      40.00       0.00
    3      23.00      26.00       0.00     171.00     177.00       0.00
    4      25.00      39.00       0.00      85.00     115.00       0.00
    5      17.00      26.00       0.00      68.00      76.00       0.00
    6      47.00      47.00       0.00       0.00      20.00       0.00
    7      44.00      50.00       0.00     308.00     337.00       0.00
    8      30.00      19.00       0.00     109.00     119.00       0.00
