

!! n200w20.001    20.14 1145


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      47.00       9.00       0.00       0.00    1154.00       0.00
    2      46.00       2.00       0.00      81.00      98.00       0.00
    3      37.00      34.00       0.00     204.00     238.00       0.00
    4      12.00      26.00       0.00     474.00     498.00       0.00
    5      19.00      20.00       0.00     625.00     650.00       0.00
    6      35.00      48.00       0.00    1029.00    1052.00       0.00
    7      17.00       7.00       0.00     295.00     321.00       0.00
    8       6.00      32.00       0.00     443.00     462.00       0.00
    9      36.00      43.00       0.00     173.00     196.00       0.00
   10      36.00      41.00       0.00     168.00     185.00       0.00
   11       5.00      24.00       0.00     472.00     484.00       0.00
   12      15.00      11.00       0.00     286.00     314.00       0.00
   13       8.00      44.00       0.00     549.00     580.00       0.00
   14       2.00      24.00       0.00     428.00     448.00       0.00
   15       4.00      18.00       0.00     657.00     663.00       0.00
   16      34.00      13.00       0.00      46.00      79.00       0.00
   17       4.00       5.00       0.00     398.00     418.00       0.00
   18      20.00      44.00       0.00     512.00     525.00       0.00
   19      36.00      46.00       0.00     184.00     205.00       0.00
   20       9.00      44.00       0.00     562.00     578.00       0.00
   21      49.00      15.00       0.00      80.00     100.00       0.00
   22      10.00      31.00       0.00     669.00     701.00       0.00
   23      27.00      20.00       0.00     271.00     296.00       0.00
   24      43.00      14.00       0.00      15.00      36.00       0.00
   25      44.00      10.00       0.00       8.00      10.00       0.00
   26      45.00      13.00       0.00       0.00      22.00       0.00
   27       4.00      46.00       0.00     565.00     587.00       0.00
   28      25.00      24.00       0.00     233.00     259.00       0.00
   29       3.00       4.00       0.00    1092.00    1110.00       0.00
   30      30.00      26.00       0.00     252.00     275.00       0.00
   31      20.00       3.00       0.00     307.00     320.00       0.00
   32      20.00       0.00       0.00     325.00     349.00       0.00
   33       7.00      10.00       0.00     373.00     400.00       0.00
   34      11.00      18.00       0.00     363.00     398.00       0.00
   35      43.00      11.00       0.00       8.00      28.00       0.00
   36      38.00      17.00       0.00     766.00     795.00       0.00
   37      26.00      14.00       0.00     283.00     303.00       0.00
   38      45.00       2.00       0.00      39.00      42.00       0.00
   39      12.00       2.00       0.00     337.00     347.00       0.00
   40       7.00      22.00       0.00     652.00     677.00       0.00
   41      19.00      31.00       0.00     714.00     741.00       0.00
   42      39.00      41.00       0.00     161.00     186.00       0.00
   43      19.00      20.00       0.00     731.00     746.00       0.00
   44      34.00      47.00       0.00     184.00     189.00       0.00
   45      35.00      19.00       0.00     783.00     804.00       0.00
   46      15.00      38.00       0.00     548.00     560.00       0.00
   47      49.00      35.00       0.00     129.00     161.00       0.00
   48      16.00      14.00       0.00     288.00     318.00       0.00
   49       3.00      22.00       0.00     412.00     450.00       0.00
   50      35.00      15.00       0.00      55.00      69.00       0.00
   51      50.00      30.00       0.00     123.00     148.00       0.00
   52      32.00      42.00       0.00     174.00     191.00       0.00
   53      26.00      16.00       0.00     269.00     291.00       0.00
   54      50.00      37.00       0.00     145.00     170.00       0.00
   55      12.00      49.00       0.00     571.00     584.00       0.00
   56      49.00      34.00       0.00     141.00     164.00       0.00
