

!! n60w20.001    19.27 590


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME


    1      34.00      18.00       0.00       0.00     601.00       0.00
    2      23.00      20.00       0.00     371.00     376.00       0.00
    3      10.00      36.00       0.00     227.00     248.00       0.00
    4      24.00      21.00       0.00     333.00     365.00       0.00
    5      47.00      27.00       0.00     118.00     141.00       0.00
    6      50.00      30.00       0.00     148.00     160.00       0.00
    7      31.00      22.00       0.00       0.00      23.00       0.00
    8      48.00      13.00       0.00      68.00     101.00       0.00
    9       6.00      21.00       0.00     327.00     338.00       0.00
   10      32.00       8.00       0.00      16.00      36.00       0.00
   11       3.00      37.00       0.00     237.00     260.00       0.00
   12       5.00      42.00       0.00     258.00     261.00       0.00
   13      28.00      19.00       0.00       0.00      27.00       0.00
   14      41.00      11.00       0.00     105.00     131.00       0.00
   15      33.00      29.00       0.00     473.00     509.00       0.00
   16      34.00       4.00       0.00       7.00      43.00       0.00
   17      23.00      40.00       0.00     207.00     237.00       0.00
   18      28.00      11.00       0.00      26.00      47.00       0.00
   19      30.00      41.00       0.00     193.00     215.00       0.00
   20      24.00       6.00       0.00      23.00      48.00       0.00
   21      11.00       2.00       0.00     401.00     421.00       0.00
   22      14.00      35.00       0.00     222.00     248.00       0.00
   23      49.00       2.00       0.00      73.00      85.00       0.00
   24      16.00      40.00       0.00     211.00     227.00       0.00
   25       5.00       8.00       0.00     395.00     410.00       0.00
   26      41.00      20.00       0.00     107.00     112.00       0.00
   27      12.00      15.00       0.00     318.00     334.00       0.00
   28      15.00      48.00       0.00     263.00     284.00       0.00
   29      10.00      34.00       0.00     234.00     245.00       0.00
   30       0.00      45.00       0.00     251.00     278.00       0.00
   31      45.00      39.00       0.00     180.00     199.00       0.00
   32      26.00      34.00       0.00     200.00     214.00       0.00
   33      50.00       6.00       0.00      71.00      90.00       0.00
   34      29.00      19.00       0.00     350.00     361.00       0.00
   35      29.00      11.00       0.00      30.00      51.00       0.00
   36      12.00      20.00       0.00     314.00     340.00       0.00
   37       1.00      18.00       0.00     435.00     444.00       0.00
   38      21.00       2.00       0.00     405.00     420.00       0.00
   39      30.00      17.00       0.00       4.00      31.00       0.00
   40       7.00      39.00       0.00     273.00     300.00       0.00
   41       5.00       4.00       0.00     525.00     541.00       0.00
   42       7.00      30.00       0.00     238.00     257.00       0.00
   43      37.00       6.00       0.00      52.00      77.00       0.00
   44      19.00      34.00       0.00     291.00     308.00       0.00
   45      43.00      43.00       0.00     156.00     180.00       0.00
   46      11.00      25.00       0.00     309.00     322.00       0.00
   47      26.00      39.00       0.00     185.00     203.00       0.00
   48      30.00      38.00       0.00     195.00     213.00       0.00
   49      32.00      12.00       0.00      11.00      18.00       0.00
   50      11.00       6.00       0.00     387.00     405.00       0.00
   51      38.00      49.00       0.00     164.00     177.00       0.00
   52      31.00       7.00       0.00      24.00      38.00       0.00
   53      43.00      32.00       0.00     140.00     146.00       0.00
   54      35.00      36.00       0.00     559.00     583.00       0.00
   55      32.00      25.00       0.00     360.00     368.00       0.00
   56      15.00      42.00       0.00     452.00     481.00       0.00
   57      28.00      12.00       0.00      32.00      41.00       0.00
